id,title,startYear,runtimeMinutes,numVotes,countryOfOrigin,awardsOrNominations,awards,nominations
tt0359950,The Secret Life of Walter Mitty,2013,114,359965,"US,GB",True,5.0,18.0
tt0369610,Jurassic World,2015,124,713013,"JP,US",True,15.0,58.0
tt0062622,2001: A Space Odyssey,1968,149,761423,"GB,US",True,18.0,14.0
tt0435651,The Giver,2014,97,129132,"CA,ZA,US",True,3.0,6.0
tt0437086,Alita: Battle Angel,2019,122,315371,"JP,CA,US",True,10.0,25.0
tt0088178,Stop Making Sense,1984,88,23081,US,True,3.0,1.0
tt0145487,Spider-Man,2002,121,935251,US,True,17.0,65.0
tt0064816,The Swimming Pool,1969,122,15502,"FR,IT",False,0.0,0.0
tt0439572,The Flash,2023,144,238911,"US,CA,AU,NZ",True,5.0,7.0
tt0448115,Shazam!,2019,132,404583,"US,CA",True,0.0,27.0
tt0490215,Silence,2016,161,129108,"US,GB,IT,TW,MX,JP",True,8.0,62.0
tt0455944,The Equalizer,2014,132,451499,US,True,1.0,9.0
tt0478970,Ant-Man,2015,117,760147,US,True,4.0,34.0
tt0493405,CHIPS,2017,100,53235,US,True,2.0,1.0
tt0451279,Wonder Woman,2017,141,724920,"US,CN,HK",True,38.0,75.0
tt0790636,Dallas Buyers Club,2013,117,538330,US,True,85.0,88.0
tt0783640,The Last Full Measure,2019,116,15030,US,True,0.0,1.0
tt0816442,The Book Thief,2013,131,145863,"DE,US,GB",True,9.0,17.0
tt0787474,The Boxtrolls,2014,96,63697,"US,CA",True,8.0,61.0
tt0810819,The Danish Girl,2015,119,204330,"GB,US,DE,DK,BE,JP",True,32.0,82.0
tt0831387,Godzilla,2014,123,457043,"US,JP",True,7.0,31.0
tt0816692,Interstellar,2014,169,2390667,"US,GB,CA",True,44.0,148.0
tt0837563,Pet Sematary,2019,100,102556,"US,CA",True,1.0,9.0
tt0864835,Mr. Peabody & Sherman,2014,92,81966,"US,IN",True,2.0,16.0
tt0884732,The Wedding Ringer,2015,101,83439,US,True,2.0,4.0
tt0903657,Love & Mercy,2014,121,44762,US,True,20.0,58.0
tt0884726,Legends of Oz: Dorothy's Return,2013,88,6470,"US,IN,RU,NL",True,1.0,5.0
tt0870154,Jungle Cruise,2021,127,223270,"US,HU,CA",True,6.0,11.0
tt0859635,Super Troopers 2,2018,99,29385,US,True,2.0,2.0
tt0918940,The Legend of Tarzan,2016,110,194554,"GB,CA,US,AU",True,2.0,4.0
tt10039344,Countdown,2019,90,50742,US,False,0.0,0.0
tt0974015,Justice League,2017,120,496044,"US,CA,GB",True,2.0,14.0
tt0993846,The Wolf of Wall Street,2013,180,1711865,US,True,38.0,180.0
tt10011448,Linda Ronstadt: The Sound of My Voice,2019,95,2604,US,True,6.0,6.0
tt10016180,The Little Things,2021,128,135693,US,True,1.0,2.0
tt10059518,Unhinged,2020,90,84443,"GB,US",True,0.0,1.0
tt1020072,Selma,2014,128,97979,"US,GB,FR",True,58.0,91.0
tt10195452,American Skin,2019,90,4111,"IT,US",True,1.0,5.0
tt10098448,Jesus Revolution,2023,120,15940,US,True,1.0,2.0
tt10160976,The Nun II,2023,110,72765,US,True,1.0,12.0
tt10314450,Becky,2020,93,28221,US,True,1.0,1.0
tt1025100,Gemini Man,2019,117,128550,"US,CN,CO",True,1.0,6.0
tt1029360,Poltergeist,2015,93,63529,"US,CA",True,1.0,6.0
tt10298810,Lightyear,2022,105,132208,"US,CA",True,2.0,22.0
tt10298840,Strange World,2022,102,49227,"US,JP",True,0.0,9.0
tt10362466,After We Collided,2020,105,42417,US,True,1.0,0.0
tt10342730,Spiral,2021,93,74273,"US,CA",True,0.0,2.0
tt10341196,Gigi & Nate,2022,114,2419,"US,GB",True,0.0,1.0
tt10327252,The Forever Purge,2021,103,47029,"CN,US",True,1.0,0.0
tt10366206,John Wick: Chapter 4,2023,169,390445,"US,DE",True,38.0,51.0
tt10473036,The Amazing Maurice,2022,93,6339,"GB,DE,CA",True,0.0,1.0
tt1043726,The Legend of Hercules,2014,99,57275,"US,BG,DE",True,1.0,7.0
tt10403420,Terrifier 2,2022,138,76070,US,True,6.0,12.0
tt10370710,The Worst Person in the World,2021,128,114719,"NO,FR,SE,DK",True,42.0,110.0
tt10638522,Talk to Me,2022,95,194633,"AU,GB",True,22.0,50.0
tt10515926,Half Brothers,2020,96,4488,"MX,US",True,0.0,1.0
tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,167799,"US,CA",True,7.0,27.0
tt10648342,Thor: Love and Thunder,2022,118,442300,"AU,US",True,4.0,21.0
tt10633456,Minari,2020,115,105322,US,True,120.0,241.0
tt1051904,Goosebumps,2015,103,99663,"US,AU",True,0.0,4.0
tt10676048,The Marvels,2023,105,154778,US,True,4.0,12.0
tt10720352,Arthur the King,2024,107,35860,"US,CA",True,3.0,1.0
tt10655524,It Ends with Us,2024,130,91317,US,True,1.0,5.0
tt10661180,The Last Shift,2020,90,4391,US,True,1.0,1.0
tt10665338,Halloween Kills,2021,105,104899,US,True,3.0,10.0
tt1083452,Eddie the Eagle,2015,106,104875,"GB,DE,US",True,2.0,9.0
tt10731256,Don't Worry Darling,2022,123,168944,US,True,10.0,18.0
tt1072748,Winchester,2018,99,38415,"AU,US",True,6.0,10.0
tt1082807,The Belko Experiment,2016,89,64518,"US,CO",False,0.0,0.0
tt10838180,The Matrix Resurrections,2021,148,295981,"US,AU",,,
tt1091191,Lone Survivor,2013,121,317909,"GB,US",True,6.0,16.0
tt10919380,Freaky,2020,102,78933,US,True,1.0,18.0
tt10855768,Missing,2023,111,69125,"US,RU",True,3.0,1.0
tt10944596,Here Today,2021,117,6381,US,False,0.0,0.0
tt10954600,Ant-Man and the Wasp: Quantumania,2023,124,257193,"US,AU,CA",True,0.0,14.0
tt10872600,Spider-Man: No Way Home,2021,148,971189,US,True,35.0,71.0
tt1086064,Bill & Ted Face the Music,2020,91,55509,"BS,US",True,0.0,12.0
tt1086772,Blended,2014,117,153850,US,True,1.0,10.0
tt10954984,Nope,2022,130,304196,"CA,JP,US",True,42.0,179.0
tt10954652,Old,2021,108,178500,"CN,JP,US",True,1.0,7.0
tt11020728,Long Weekend,2021,91,2207,US,False,0.0,0.0
tt11083552,Wrath of Man,2021,119,228698,"GB,US",True,0.0,1.0
tt11003218,Pig,2021,92,100957,"US,GB",True,38.0,75.0
tt1109624,Paddington,2014,95,149777,"GB,FR",True,3.0,7.0
tt11084896,Spirit Untamed,2021,88,5234,"US,GB",True,1.0,9.0
tt11057302,Madame Web,2024,116,105718,"US,MX,CA",True,6.0,7.0
